site,start,end,B2,B3,B4,B5,B8,B11,TSS1,Secchi1,TSS2,Secchi2,TSS3,Secchi3,TSS4,NDWIratio,sensor
KrugerGate,2022-11-19T00:00:00Z,2022-11-23T00:00:00Z, nan, nan, nan, nan, nan, nan,585.3098591549295,0.6965570615942243,0.9315098612879936,1.0828806019382728,0.8374859951046234,419.8546970257744,488.1251341,NA,10.486371117391304
KrugerGate,2022-11-24T00:00:00Z,2022-11-28T00:00:00Z,615.5,726.6666667,783.6666667,949.1666667,719.8333333,804.3333333,755.1666666666666,0.7866263015161262,0.9281191689448668,1.0779001888824542,0.954190563,616.7732629,720.9112335222159,NA,9.411500341
KrugerGate,2022-11-29T00:00:00Z,2022-12-03T00:00:00Z, nan, nan, nan, nan, nan, nan,7204,1.091906198051833,1.035692208316861,0.965626388,1.0568614309696047,7728.915897493596,7611.965626388364,#NAME?,21.837191860869567
KrugerGate,2022-12-04T00:00:00Z,2022-12-08T00:00:00Z, nan, nan, nan, nan, nan, nan,NA,NA,NA,NA,NA,NA,NA,NA,28.84089510724638
KrugerGate,2022-12-09T00:00:00Z,2022-12-13T00:00:00Z, nan, nan, nan, nan, nan, nan,1001.157894736842,0.939218714,1.0399792400970858,0.9642424977453168,0.8775507989007617,918.8075745,880.2010846030084,-2.01986554,16.968394527536233
KrugerGate,2022-12-19T00:00:00Z,2022-12-23T00:00:00Z, nan, nan, nan, nan, nan, nan,NA,NA,NA,NA,NA,NA,NA,NA,40.951720985507244
KrugerGate,2022-12-24T00:00:00Z,2022-12-28T00:00:00Z,671.2362637,870.5879121,860.1703297,897.1373626,681.1978022,571.3406593,865.3791208791209,0.7445634689089894,0.974970446,1.051445995498577,0.7462814729322297,672.5947319910009,682.2492481933008,0.14083072884630107,24.710154666666668
KrugerGate,2022-12-29T00:00:00Z,2023-01-02T00:00:00Z, nan, nan, nan, nan, nan, nan,5673.536804308797,1.1769929699752282,1.0848347956970523,0.9219510064806956,1.054358489058128,6405.927045444366,5972.239724794632,-0.213225342,15.891176086956522
KrugerGate,2023-01-03T00:00:00Z,2023-01-07T00:00:00Z, nan, nan, nan, nan, nan, nan,795.7681564,0.6453095396099117,0.8918013019081903,1.1303442382627182,0.636437865,557.2351343,525.8063219,Inf,19.962768086956522
KrugerGate,2023-01-08T00:00:00Z,2023-01-12T00:00:00Z, nan, nan, nan, nan, nan, nan,1170.1559633027523,0.5560405320818738,0.8290257957888868,1.208154636669524,0.6675578967400206,729.4805176001603,786.5017326183208,1.9551370733248588,39.94317782463768
KrugerGate,2023-01-13T00:00:00Z,2023-01-17T00:00:00Z, nan, nan, nan, nan, nan, nan,1067.1666666666667,0.7991427110376279,0.9374025318177808,1.0699095130157834,0.7496616963068883,880.0091288126198,799.6175285606348,0.19934285850363623,20.575624579710144
KrugerGate,2023-01-18T00:00:00Z,2023-01-22T00:00:00Z, nan, nan, nan, nan, nan, nan,NA,NA,NA,NA,NA,NA,NA,NA,14.926687484057972
KrugerGate,2023-01-23T00:00:00Z,2023-01-27T00:00:00Z, nan, nan, nan, nan, nan, nan,NA,NA,NA,NA,NA,NA,NA,NA,23.272235634782607
KrugerGate,2023-01-28T00:00:00Z,2023-02-01T00:00:00Z,321.9285714,491.2142857,529.8452381,658.952381,436.9404762,622.1547619,510.5297619047619,0.6085780542592567,0.9306843459228088,1.0794212565092487,0.8563241765554872,323.5930714899494,438.0198974469855,NA,24.179348820549926
LowerSabie,2022-11-14T00:00:00Z,2022-11-18T00:00:00Z, nan, nan, nan, nan, nan, nan,4208.384615384615,1.0544245901311478,1.0557463098826056,0.9544396233826692,1.0460142817351945,4351.774240644667,4400.800593469536,NA,8.060942886
LowerSabie,2022-11-19T00:00:00Z,2022-11-23T00:00:00Z, nan, nan, nan, nan, nan, nan,549.6141304347826,0.9212674309382616,1.1411795788948909,0.8787388110648362,0.6345328101506044,475.26061473635895,351.4983040284561,-11.15186888,10.218426214492753
LowerSabie,2022-11-24T00:00:00Z,2022-11-28T00:00:00Z,732.9779006,804.441989,718.480663,764.8342541,645.961326,611.8453039,761.4613259668508,1.0229352279598811,1.1218329864025691,0.8919822747348937,0.8505934224412242,733.9568779112328,646.8533082415858,1.265565762829404,9.4096315
LowerSabie,2022-11-29T00:00:00Z,2022-12-03T00:00:00Z, nan, nan, nan, nan, nan, nan,944.9805555555556,1.0875636459062508,1.162223296074047,0.8621198905505366,0.7310030678198641,948.8778406334468,688.9121198905505,1.3635770145079604,10.853535846376811
LowerSabie,2022-12-04T00:00:00Z,2022-12-08T00:00:00Z, nan, nan, nan, nan, nan, nan,11488.882352941177,1.147163404712706,1.057276824761264,0.9458800087584754,0.910122573,12812.656186377058,10448.043919224445,0.30181683301886453,10.461859043478261
LowerSabie,2022-12-09T00:00:00Z,2022-12-13T00:00:00Z, nan, nan, nan, nan, nan, nan,921.5,1.0446964526863591,1.1265044406191749,0.8909685260538376,0.807361895,903.0810180244124,747.8909685260538,4.522311684124294,19.379044514492755
LowerSabie,2022-12-19T00:00:00Z,2022-12-23T00:00:00Z, nan, nan, nan, nan, nan, nan,NA,NA,NA,NA,NA,NA,NA,NA,48.89930703478261
LowerSabie,2022-12-24T00:00:00Z,2022-12-28T00:00:00Z,525.1989529,639.8010471,612.591623,618.2251309,408.591623,357.4031414,626.1963351,0.8595260218447184,1.0487637399892469,0.9545474321853114,0.6462992920749582,526.3639410146161,409.54617046883453,NA,19.93835179710145
LowerSabie,2022-12-29T00:00:00Z,2023-01-02T00:00:00Z, nan, nan, nan, nan, nan, nan,NA,NA,NA,NA,NA,NA,NA,NA,15.070356667876588
LowerSabie,2023-01-03T00:00:00Z,2023-01-07T00:00:00Z, nan, nan, nan, nan, nan, nan,827.1444444444444,0.8022470063153844,0.9509062873333702,1.0543353450860409,0.8824050382544941,657.5744281635218,738.3432242,0.6243710951495003,67.38533097
LowerSabie,2023-01-08T00:00:00Z,2023-01-12T00:00:00Z, nan, nan, nan, nan, nan, nan,1552.8082191780825,0.5262404846616242,0.7604814023824676,1.3167207246877684,0.8393246339105485,928.9744351392194,1279.7276796287972,0.036439766,35.115732855072466
LowerSabie,2023-01-13T00:00:00Z,2023-01-17T00:00:00Z, nan, nan, nan, nan, nan, nan,1042.9268292682927,0.8573383145932679,1.0294027778912636,0.972380749,0.5934344176058884,882.1055756367016,620.4520555461665,-1.336251653,76.02716088405798
LowerSabie,2023-01-18T00:00:00Z,2023-01-22T00:00:00Z, nan, nan, nan, nan, nan, nan,850.9108108108109,0.8528464418889355,1.0804444243768907,0.9272059302996112,0.6851581338166892,701.4114799209889,596.4190978221916,Inf,19.614831376811594
LowerSabie,2023-01-23T00:00:00Z,2023-01-27T00:00:00Z, nan, nan, nan, nan, nan, nan,5650.55,0.98285521,1.0200145986238691,0.987463976,1.0195757013354854,5483.623249257851,5740.987463976468,-0.123105364,14.275430173913044
LowerSabie,2023-01-28T00:00:00Z,2023-02-01T00:00:00Z,401.6120219,572.4863388,500.5519126,486.6065574,313.568306,390.4043716,536.5191256830601,0.7970228866776362,1.1534832317112431,0.8707683760709957,0.5771853204698799,402.87175756863775,314.43907438699995,-43.36723414,12.523287749275362
